106, 100, 499, 116
463, 115, 686, 131
210, 130, 511, 146
464, 145, 636, 161
153, 160, 280, 175
480, 175, 843, 191
437, 190, 736, 206
330, 205, 502, 221
114, 220, 239, 235
188, 235, 234, 246
505, 250, 855, 266
312, 265, 663, 281
131, 280, 225, 295
157, 295, 572, 311
503, 310, 549, 321
222, 325, 262, 340
396, 340, 474, 351
241, 355, 630, 371
207, 370, 406, 386
482, 385, 602, 400
263, 400, 602, 416
219, 415, 288, 426
208, 430, 563, 446
403, 445, 756, 461
258, 460, 347, 476
332, 475, 558, 491
137, 490, 230, 505
123, 505, 163, 520
